name,quadrant,ring,isNew,description,pros,cons,usedBy
Spring Security,Sikkerhet,BRUK,FALSE,Omfattende sikkerhetsrammeverk som er naturlig å bruke i Spring-applikasjoner som har sikkerhetsbehov. Team som bruker opplever at det har en læringskurve og er omfattende men også er et godt rammeverk.,"- Sikkerhet-by-default
- Integrasjoner mot mange teknologier og mekanismer",- Omfattende og mye å sette seg inn i,"Skjema,
Barnehagepris, Barnehageplass, Legevaktmottak"
MFA,Sikkerhet,BRUK,FALSE,"Multi-faktor autentisering (noe du vet, noe du har, noe du er) er et enkelt og effektivt tiltak for å sikre kontoer. De fleste innloggingsflater støtter MFA. Positive til å utforske mulighetene for bruk av fysisk device slik som Yubikey. ",- Enkelt og effektivt tiltak for å sikre kontoer,"- Litt mer tungving innlogging, vurder om det passer for tjenester man kun bruker i test
- Noe teknologi støtter ikke MFA
- Krevende der man deler kontoer f.eks. ved systemkonto",Alle team
OWASP ZAP,Sikkerhet,BRUK,FALSE,"Sanntid scanneverktøy i hovedsak for webapplikasjoner. Gratis og open source. Knyttet til Open Web Application Security Project, som er en autoritativ kilde på websikkerhet. Ingen team har ført opp at de bruker dette. ",- Gratis og fra kjent organisasjon,,
Amazon Security Hub,Sikkerhet,BRUK,FALSE,"Sikkerhetsprodukt fra AWS. Gir en oversikt over sikkerhetsstatus i miljøet opp mot best-practice og industristandarder

","- Godt integrert med AWS og forskjellige produkter på plattformen
- Gir en score for benchmark
- Rapporteren gir en prioritert liste over utfordringer, samt lenke til side med guide for fiks",- Dekker ikke alt rundt sikkerhet. Brukere bør sette seg inn i security hub sitt ansvarsområde,Alle team
Gatekeeper,Sikkerhet,AVSTÅ,FALSE,"Open Source prosjekt for å abstrahere bort noen av detaljene ved å støtte OAuth autentisering i en web applikasjon. Gode erfaringer hos de som bruker den, men spørsmål rundt om vi kan bruke bibliotek med høyere aktivitet.",,"- Egenprodusert kode for sikkerhet, finnes det andre alternativ?",Dataplattform
Entra ID,Sikkerhet,BRUK,FALSE,Tidligere Active Directory (AD). Microsoft sitt system for identitets- og tilgangsstyring (IAM). Brukes gjennomgående i Oslo kommune.,"- Slipper å bruke Keycloak
- Gir større mulighetsrom for ""graceful degradation""","- Kan ikke brukes hvis man trenger Keycloak-token
- Trenger manuell integrasjon mot FREG og KRR",Dataspeilet
Keycloak (UKE),Sikkerhet,BRUK,FALSE,Keycloak er et system for identitets- og tilgangsstyring (IAM). I Oslo kommune har UKE koblet Keycloak mot ID-Porten for innbyggerpålogging og AD for ansattpålogging.,"- Synk med Oslo kommune Entra ID
- Synk med ID-Porten
- Self-service for opprettelse av klienter
- Beriker med data fra FREG og KRR","- Historisk noe ustabil drift, spesielt i testmiljø
- Team har ikke tilgang til konfigurasjon
- Begrenset self-service",Alle team
ID-porten,Sikkerhet,BRUK,TRUE,"Pålogging for innbyggere. Direkte bruk av ID-porten i stedet for via Keycloak. Klienter kan opprettes med ""okdata"", på samme måte som for Maskinporten.","- Slipper å bruke Keycloak
- Gir større mulighetsrom for ""graceful degradation""","- Kan ikke brukes hvis man trenger Keycloak-token
- Trenger manuell integrasjon mot FREG og KRR",Barnehageplass
OAuth2 / OIDC,Sikkerhet,BRUK,FALSE,"OAuth2 og OIDC er standarder for autorisering og autentisering. Muliggjør innlogging gjennom autorisasjonsserver uten at tjenesten mottar brukernavn og passord fra bruker. Har flere flyter for forskjellige bruksscenario (f.eks. tjenestebruker, single page applications)","- Begrense spredning av passord og brukernavn
- Best-practice og etablert standard",,Alle team
Amazon Cognito,Sikkerhet,BRUK,FALSE,Amazon Cognito tilbyr brukerhåndtering og tilgangskontroll for applikasjonsbrukere. Kan ha egen user pool eller integrere med tredjepartsløsninger. Tilbyr standard OAuth2/OIDC endepunkt for å brukes som autorisasjonsserver. Kan også brukes til å gi tilgang til AWS-tjenester (utenfor IAM-brukere). ,"- AWS sin tjeneste for user pool
- Mulighet for teamene å eie egne bruker pool","- Ingen synk med Oslo Kommune AD ut av boksen
- Ingen synk på tvers av pools i forskjellige AWS-kontoer","Barnehagepris,
Skjema,
Veiviser,
Helsedata"
Amazon CloudWatch,Sikkerhet,BRUK,FALSE,"AWS sin tjeneste for overvåkning av tjenester og applikasjoner i AWS gjennom innsamling, analyse og visualisering av logger, metrikker og hendelser.",- Alarmer på AWS infrastruktur,- Dårlig UI,Alle team
Snyk,Sikkerhet,VURDER,FALSE,"Samling av verktøy og ressurser for statisk sikkerhetstesting av kode og containere. Integrasjoner mot byggeverktøy, kode- og container repository og IDE. Snyk har også verktøy sjekk av dependencies, IAC og etterlevelse av lisenser. ","- Kategoriserer risiko godt i høy, medium og lav alvorlighetsgrad","- Blir fort veldig dyrt
- Vurder heller GitHub Advanced Security",
